DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DED2,2023,12.2,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DED4,2021,17.0,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DED4,2022,15.0,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DED4,2023,19.6,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DED5,2021,20.2,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DED5,2022,17.1,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DED5,2023,15.1,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEE0,2021,20.5,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEE0,2022,19.8,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEE0,2023,22.9,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEF0,2021,16.3,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEF0,2022,12.8,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEF0,2023,12.5,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEG0,2021,19.1,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEG0,2022,15.0,
ESTAT:TGS00103(1.0),20/06/24 23:00:00,A,PC_POP,DEG0,2023,15.8,
